,Opposition,Distance,HSR,Sprint,Accelerations,Decelerations,Jumps,match_id,season_name,team,opposition_team,goals_scored,goals_conceded,np_xg,np_xg_conceded,shots,shots_on_target,opposition_shots,opposition_shots_on_target,passes,opposition_passes,completed_passes_into_the_box,pressures,pressure_regains,fouls,tackles,yellow_cards,xg_within_8_seconds_of_corner,xg_conceded_within_8_seconds_of_corner,shots_within_8_seconds_of_corner,shots_conceded_within_8_seconds_of_corner,goals_within_8_seconds_of_corner,goals_conceded_within_8_seconds_of_corner,xg_within_8_seconds_of_indirect_free_kick,xg_conceded_within_8_seconds_of_indirect_free_kick,shots_within_8_seconds_of_indirect_free_kick,shots_conceded_within_8_seconds_of_indirect_free_kick,goals_within_8_seconds_of_indirect_free_kick,goals_conceded_within_8_seconds_of_indirect_free_kick,possession,final_third_possession,ppda,completed_passes_and_carries_into_final_third,match_outcome,date,monte_carlo_win_prob,monte_carlo_draw_prob,monte_carlo_loss_prob,location,lineup
80,Barnsley,112073.0,6875.0,1383.0,282.0,390.0,33.0,3803495.0,2122,Coventry City,Barnsley,1.0,0.0,1.1573814,0.3202141,19.0,7.0,6.0,0.0,581.0,427.0,11.0,177.0,37.0,12.0,24.0,0.0,0.0350909,0.0893632,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,56.0,6.314285714285714,41.0,won,2022-02-19,0.5869,0.3179,0.0952,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 100.533}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 96.4333}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 100.533}, {'player_id': 7847, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 4.1}, {'player_id': 8998, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 100.533}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 100.533}, {'player_id': 10460, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 85.1}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 100.533}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 100.533}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 100.533}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 100.533}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Forward', 'minutes_played': 15.65}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 100.533}, {'player_id': 44560, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
81,Bristol,109489.0,7034.0,1272.0,281.0,439.0,43.0,3803330.0,2122,Coventry City,Bristol City,2.0,1.0,1.1779729,1.5233173,13.0,4.0,14.0,4.0,361.0,525.0,9.0,192.0,23.0,14.0,12.0,3.0,0.157344,0.0,1.0,0.0,0.0,0.0,0.0,0.2550413,0.0,2.0,0.0,0.0,41.0,40.0,9.966666666666669,30.0,won,2022-02-22,0.2739,0.2703,0.4558,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 96.2167}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 82.6833}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.2167}, {'player_id': 7847, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 13.8667}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.2167}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.2167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.2167}, {'player_id': 10460, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Attacking Midfield', 'minutes_played': 13.9}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 96.2167}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.2167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Attacking Midfield', 'minutes_played': 96.2167}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 96.2167}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Attacking Midfield', 'minutes_played': 82.6833}]"
82,Preston,103137.0,6638.0,1127.0,334.0,394.0,35.0,3803132.0,2122,Coventry City,Preston North End,1.0,1.0,0.71152471,0.7842239,10.0,3.0,13.0,5.0,439.0,429.0,8.0,172.0,24.0,13.0,12.0,2.0,0.07978,0.0751277,1.0,2.0,0.0,0.0,0.13766261,0.0,3.0,0.0,1.0,0.0,51.0,50.0,8.12,43.0,draw,2022-02-26,0.1252,0.2502,0.6246,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 64.5167}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 100.433}, {'player_id': 7847, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 21.9833}, {'player_id': 8998, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 36.5167}, {'player_id': 9709, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 100.433}, {'player_id': 10460, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 64.5167}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 100.433}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 100.433}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 94.3333}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 100.433}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 100.433}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 100.433}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 6.41667}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 100.433}]"
83,Swansea,105146.0,7481.0,1426.0,337.0,432.0,26.0,3803272.0,2122,Coventry City,Swansea City,1.0,3.0,1.1710426,1.1215211,12.0,4.0,8.0,3.0,502.0,543.0,5.0,163.0,23.0,15.0,20.0,2.0,0.1773244,0.0498482,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,55.0,11.516129032258064,38.0,lost,2022-03-05,0.3502,0.3077,0.3421,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Wing', 'minutes_played': 97.0}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 97.0}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.0}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 66.6333}, {'player_id': 9422, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing Back', 'minutes_played': 31.6833}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.0}, {'player_id': 10460, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Forward', 'minutes_played': 31.6667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 97.0}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.0}, {'player_id': 18288, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 66.6333}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 97.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.0}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing', 'minutes_played': 97.0}, {'player_id': 43650, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
84,Luton,105846.0,7089.0,1491.0,302.0,408.0,38.0,3803455.0,2122,Coventry City,Luton Town,0.0,1.0,0.867332,0.30430012,12.0,3.0,6.0,3.0,524.0,355.0,8.0,160.0,31.0,11.0,23.0,3.0,0.0,0.0445938,0.0,1.0,0.0,0.0,0.1026716,0.0,2.0,0.0,0.0,0.0,60.0,61.0,3.638888888888889,55.0,lost,2022-03-08,0.4902,0.3888,0.121,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 97.65}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 97.65}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 97.65}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 80.7}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 97.65}, {'player_id': 10460, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 65.1333}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 97.65}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 97.65}, {'player_id': 23399, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Center Attacking Midfield', 'minutes_played': 32.5167}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 97.65}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 97.65}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 16.95}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 97.65}, {'player_id': 43650, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 44560, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
85,Sheffield United,111017.0,8268.0,2074.0,312.0,432.0,38.0,3803321.0,2122,Coventry City,Sheffield United,4.0,1.0,5.3780954,1.0134152,27.0,13.0,12.0,4.0,485.0,514.0,10.0,153.0,32.0,17.0,21.0,0.0,0.4544125,0.2314572,5.0,2.0,0.0,0.0,0.0,0.1770796,0.0,2.0,0.0,0.0,49.0,41.0,8.333333333333334,49.0,won,2022-03-12,0.9685,0.0242,0.0073,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 98.9}, {'player_id': 4179, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing Back', 'minutes_played': 25.0167}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 98.9}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 73.8833}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 83.8167}, {'player_id': 9709, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 70.45}, {'player_id': 10028, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Back', 'minutes_played': 28.45}, {'player_id': 10460, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Center Forward', 'minutes_played': 15.0833}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 98.9}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 98.9}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 98.9}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 98.9}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 98.9}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 98.9}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
86,Hull,115288.0,6561.0,1063.0,299.0,429.0,26.0,3803230.0,2122,Coventry City,Hull City,0.0,2.0,1.84163729,0.9016986,19.0,4.0,12.0,6.0,656.0,383.0,9.0,163.0,31.0,11.0,17.0,2.0,0.4588697,0.0783757,6.0,1.0,0.0,1.0,0.0,0.079479,0.0,2.0,0.0,0.0,63.0,69.0,6.294117647058823,70.0,lost,2022-03-16,0.5906,0.2394,0.17,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 72.1167}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.2167}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 96.2167}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 72.1167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.2167}, {'player_id': 10460, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Defensive Midfield', 'minutes_played': 15.6333}, {'player_id': 10781, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Defensive Midfield', 'minutes_played': 24.2833}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 80.5833}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 96.2167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 96.2167}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 96.2167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.2167}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 24.4333}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.2167}, {'player_id': 43650, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
87,Derby,105688.0,7350.0,1338.0,315.0,406.0,43.0,3803112.0,2122,Coventry City,Derby County,1.0,1.0,1.5990953,0.81260264,13.0,6.0,14.0,5.0,403.0,473.0,4.0,213.0,16.0,16.0,22.0,3.0,0.050835,0.0178484,1.0,1.0,0.0,0.0,0.0638206,0.167251,1.0,1.0,0.0,0.0,46.0,35.0,10.0,30.0,draw,2022-03-19,0.3573,0.2816,0.3611,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 96.15}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 96.15}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 96.15}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 96.15}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 96.15}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 96.15}, {'player_id': 10460, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Attacking Midfield', 'minutes_played': 23.0833}, {'player_id': 10781, 'squad_role': 'Starting XI', 'position': 'Left Attacking Midfield', 'minutes_played': 66.4667}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 96.15}, {'player_id': 15542, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 12.55}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Right Attacking Midfield', 'minutes_played': 73.2}, {'player_id': 29040, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Attacking Midfield', 'minutes_played': 29.9167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 96.15}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Substitution - On (Injury)', 'position': 'Left Center Back', 'minutes_played': 83.8}, {'player_id': 43650, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
88,Blackburn,108072.0,6594.0,1360.0,301.0,416.0,43.0,3803259.0,2122,Coventry City,Blackburn Rovers,2.0,2.0,0.95687961,0.8686308,12.0,4.0,10.0,3.0,447.0,408.0,10.0,178.0,32.0,19.0,29.0,2.0,0.0420011,0.0870287,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,41.0,4.794117647058823,43.0,draw,2022-04-02,0.3612,0.3382,0.3006,home,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Defensive Midfield', 'minutes_played': 106.05}, {'player_id': 4179, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 106.05}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 106.05}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.1167}, {'player_id': 9422, 'squad_role': 'Starting XI', 'position': 'Left Center Forward', 'minutes_played': 106.05}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 106.05}, {'player_id': 10460, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Defensive Midfield', 'minutes_played': 106.05}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 106.05}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Right Center Forward', 'minutes_played': 106.05}, {'player_id': 29363, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 106.05}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Wing', 'minutes_played': 10.9333}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 106.05}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
89,Notts Forest ,109115.0,8432.0,1598.0,317.0,445.0,19.0,3803513.0,2122,Coventry City,Nottingham Forest,0.0,2.0,1.0055382,1.97791885,13.0,5.0,18.0,3.0,452.0,522.0,10.0,228.0,49.0,10.0,29.0,3.0,0.0,0.6474934,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,52.0,10.3125,43.0,lost,2022-04-06,0.1671,0.2191,0.6138,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 100.033}, {'player_id': 4179, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 71.9}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 100.033}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 100.033}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 100.033}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 100.033}, {'player_id': 10460, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 10781, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 86.4667}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 100.033}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 100.033}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 71.9167}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 100.033}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 32261, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Center Forward', 'minutes_played': 28.1167}, {'player_id': 39092, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Left Wing Back', 'minutes_played': 28.1333}, {'player_id': 134012, 'squad_role': 'Substitution - On (Tactical)', 'position': 'Right Defensive Midfield', 'minutes_played': 13.5667}]"
90,Fulham,109066.0,7109.0,1580.0,290.0,430.0,35.0,3803361.0,2122,Coventry City,Fulham,3.0,1.0,2.8404009,2.50472862,18.0,4.0,27.0,7.0,320.0,577.0,7.0,160.0,30.0,14.0,13.0,4.0,0.9833817,0.192184,6.0,1.0,1.0,0.0,0.4360713,0.2170409999999999,3.0,2.0,0.0,0.0,36.0,37.0,14.166666666666666,29.0,won,2022-04-10,0.4418,0.2206,0.3376,away,"[{'player_id': 3299, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 3355, 'squad_role': 'Starting XI', 'position': 'Right Center Midfield', 'minutes_played': 95.3167}, {'player_id': 4179, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 4576, 'squad_role': 'Starting XI', 'position': 'Goalkeeper', 'minutes_played': 95.3167}, {'player_id': 7847, 'squad_role': 'Starting XI', 'position': 'Right Wing Back', 'minutes_played': 95.3167}, {'player_id': 8998, 'squad_role': 'Starting XI', 'position': 'Left Center Back', 'minutes_played': 95.3167}, {'player_id': 10028, 'squad_role': 'Starting XI', 'position': 'Center Back', 'minutes_played': 95.3167}, {'player_id': 10460, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 15304, 'squad_role': 'Starting XI', 'position': 'Left Center Midfield', 'minutes_played': 95.3167}, {'player_id': 23399, 'squad_role': 'Starting XI', 'position': 'Center Attacking Midfield', 'minutes_played': 95.3167}, {'player_id': 29040, 'squad_role': 'Starting XI', 'position': 'Center Forward', 'minutes_played': 95.3167}, {'player_id': 29363, 'squad_role': 'Starting XI', 'position': 'Center Defensive Midfield', 'minutes_played': 95.3167}, {'player_id': 29407, 'squad_role': 'Starting XI', 'position': 'Right Center Back', 'minutes_played': 95.3167}, {'player_id': 29977, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 32261, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 39092, 'squad_role': 'Starting XI', 'position': 'Left Wing Back', 'minutes_played': 95.3167}, {'player_id': 47880, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}, {'player_id': 134012, 'squad_role': 'Unused', 'position': 'Unused', 'minutes_played': 0.0}]"
